Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2007/04/12,SPY,SPY,S,CBOE,5317
2007/04/13,SPY,SPY,S,CBOE,4551
2007/04/16,SPY,SPY,S,CBOE,494
2007/04/17,SPY,SPY,S,CBOE,874
2007/04/18,SPY,SPY,S,CBOE,1397
2007/04/19,SPY,SPY,S,CBOE,1350
2007/04/20,SPY,SPY,S,CBOE,11231
2007/04/23,SPY,SPY,S,CBOE,2161
2007/04/24,SPY,SPY,S,CBOE,1099
2007/04/25,SPY,SPY,S,CBOE,4508
2007/04/26,SPY,SPY,S,CBOE,3542
2007/04/27,SPY,SPY,S,CBOE,2160
2007/04/30,SPY,SPY,S,CBOE,2012
2007/05/01,SPY,SPY,S,CBOE,4791
2007/05/02,SPY,SPY,S,CBOE,156
2007/05/03,SPY,SPY,S,CBOE,2567
2007/05/04,SPY,SPY,S,CBOE,2113
2007/05/07,SPY,SPY,S,CBOE,184
2007/05/08,SPY,SPY,S,CBOE,121
2007/05/09,SPY,SPY,S,CBOE,33
2007/05/10,SPY,SPY,S,CBOE,331
2007/05/11,SPY,SPY,S,CBOE,1418
2007/05/14,SPY,SPY,S,CBOE,3220
2007/05/15,SPY,SPY,S,CBOE,494
2007/05/16,SPY,SPY,S,CBOE,1
2007/05/17,SPY,SPY,S,CBOE,487
2007/05/18,SPY,SPY,S,CBOE,872
2007/05/21,SPY,SPY,S,CBOE,1049
2007/05/22,SPY,SPY,S,CBOE,311
2007/05/23,SPY,SPY,S,CBOE,16629
2007/05/24,SPY,SPY,S,CBOE,6926
2007/05/25,SPY,SPY,S,CBOE,5953
2007/05/29,SPY,SPY,S,CBOE,284
2007/05/30,SPY,SPY,S,CBOE,362
2007/05/31,SPY,SPY,S,CBOE,863
2007/06/01,SPY,SPY,S,CBOE,236
2007/06/04,SPY,SPY,S,CBOE,404
2007/06/05,SPY,SPY,S,CBOE,921
2007/06/06,SPY,SPY,S,CBOE,1748
2007/06/07,SPY,SPY,S,CBOE,2443
2007/06/08,SPY,SPY,S,CBOE,8475
2007/06/11,SPY,SPY,S,CBOE,11104
2007/06/12,SPY,SPY,S,CBOE,9863
2007/06/13,SPY,SPY,S,CBOE,2135
2007/06/14,SPY,SPY,S,CBOE,2228
2007/06/15,SPY,SPY,S,CBOE,1266
2007/06/18,SPY,SPY,S,CBOE,825
2007/06/19,SPY,SPY,S,CBOE,1352
2007/06/20,SPY,SPY,S,CBOE,2195
2007/06/21,SPY,SPY,S,CBOE,6754
2007/06/22,SPY,SPY,S,CBOE,2202
2007/06/25,SPY,SPY,S,CBOE,636
2007/06/26,SPY,SPY,S,CBOE,6649
2007/06/27,SPY,SPY,S,CBOE,3503
2007/06/28,SPY,SPY,S,CBOE,2495
2007/06/29,SPY,SPY,S,CBOE,210
2007/07/02,SPY,SPY,S,CBOE,5068
2007/07/03,SPY,SPY,S,CBOE,532
2007/07/05,SPY,SPY,S,CBOE,426
2007/07/06,SPY,SPY,S,CBOE,2315
2007/07/09,SPY,SPY,S,CBOE,1565
2007/07/10,SPY,SPY,S,CBOE,1469
2007/07/11,SPY,SPY,S,CBOE,5788
2007/07/12,SPY,SPY,S,CBOE,1723
2007/07/13,SPY,SPY,S,CBOE,20
2007/07/16,SPY,SPY,S,CBOE,3767
2007/07/17,SPY,SPY,S,CBOE,468
2007/07/18,SPY,SPY,S,CBOE,3279
2007/07/19,SPY,SPY,S,CBOE,126
2007/07/20,SPY,SPY,S,CBOE,14231
2007/07/23,SPY,SPY,S,CBOE,3477
2007/07/24,SPY,SPY,S,CBOE,5421
2007/07/25,SPY,SPY,S,CBOE,4902
2007/07/26,SPY,SPY,S,CBOE,8366
2007/07/27,SPY,SPY,S,CBOE,9252
2007/07/30,SPY,SPY,S,CBOE,9764
2007/07/31,SPY,SPY,S,CBOE,3478
2007/08/01,SPY,SPY,S,CBOE,17092
2007/08/02,SPY,SPY,S,CBOE,17647
2007/08/03,SPY,SPY,S,CBOE,4374
2007/08/06,SPY,SPY,S,CBOE,6257
2007/08/07,SPY,SPY,S,CBOE,3568
2007/08/08,SPY,SPY,S,CBOE,4046
2007/08/09,SPY,SPY,S,CBOE,8628
2007/08/10,SPY,SPY,S,CBOE,20253
2007/08/13,SPY,SPY,S,CBOE,3479
2007/08/14,SPY,SPY,S,CBOE,3969
2007/08/15,SPY,SPY,S,CBOE,18246
2007/08/16,SPY,SPY,S,CBOE,55974
2007/08/17,SPY,SPY,S,CBOE,62549
2007/08/20,SPY,SPY,S,CBOE,21435
2007/08/21,SPY,SPY,S,CBOE,14150
2007/08/22,SPY,SPY,S,CBOE,18075
2007/08/23,SPY,SPY,S,CBOE,34504
2007/08/24,SPY,SPY,S,CBOE,14023
2007/08/27,SPY,SPY,S,CBOE,5312
2007/08/28,SPY,SPY,S,CBOE,18006
2007/08/29,SPY,SPY,S,CBOE,4189
2007/08/30,SPY,SPY,S,CBOE,8800
2007/08/31,SPY,SPY,S,CBOE,2305
2007/09/04,SPY,SPY,S,CBOE,7230
2007/09/05,SPY,SPY,S,CBOE,13435
2007/09/06,SPY,SPY,S,CBOE,2952
2007/09/07,SPY,SPY,S,CBOE,3657
2007/09/10,SPY,SPY,S,CBOE,6798
2007/09/11,SPY,SPY,S,CBOE,7639
2007/09/12,SPY,SPY,S,CBOE,1671
2007/09/13,SPY,SPY,S,CBOE,5569
2007/09/14,SPY,SPY,S,CBOE,4756
2007/09/17,SPY,SPY,S,CBOE,5935
2007/09/18,SPY,SPY,S,CBOE,4778
2007/09/19,SPY,SPY,S,CBOE,2402
2007/09/20,SPY,SPY,S,CBOE,4197
2007/09/21,SPY,SPY,S,CBOE,1597
2007/09/24,SPY,SPY,S,CBOE,6570
2007/09/25,SPY,SPY,S,CBOE,345
2007/09/26,SPY,SPY,S,CBOE,1202
2007/09/27,SPY,SPY,S,CBOE,10452
2007/09/28,SPY,SPY,S,CBOE,3075
2007/10/01,SPY,SPY,S,CBOE,3629
2007/10/02,SPY,SPY,S,CBOE,2027
2007/10/03,SPY,SPY,S,CBOE,767
2007/10/04,SPY,SPY,S,CBOE,4367
2007/10/05,SPY,SPY,S,CBOE,1077
2007/10/08,SPY,SPY,S,CBOE,601
2007/10/09,SPY,SPY,S,CBOE,3306
2007/10/10,SPY,SPY,S,CBOE,481
2007/10/11,SPY,SPY,S,CBOE,1702
2007/10/12,SPY,SPY,S,CBOE,590
2007/10/15,SPY,SPY,S,CBOE,945
2007/10/16,SPY,SPY,S,CBOE,14106
2007/10/17,SPY,SPY,S,CBOE,9422
2007/10/18,SPY,SPY,S,CBOE,1746
2007/10/19,SPY,SPY,S,CBOE,6618
2007/10/22,SPY,SPY,S,CBOE,6550
2007/10/23,SPY,SPY,S,CBOE,6839
2007/10/24,SPY,SPY,S,CBOE,5133
2007/10/25,SPY,SPY,S,CBOE,7740
2007/10/26,SPY,SPY,S,CBOE,5611
2007/10/29,SPY,SPY,S,CBOE,4444
2007/10/30,SPY,SPY,S,CBOE,2762
2007/10/31,SPY,SPY,S,CBOE,5907
2007/11/01,SPY,SPY,S,CBOE,9267
2007/11/02,SPY,SPY,S,CBOE,6567
2007/11/05,SPY,SPY,S,CBOE,14202
2007/11/06,SPY,SPY,S,CBOE,15765
2007/11/07,SPY,SPY,S,CBOE,25313
2007/11/08,SPY,SPY,S,CBOE,31470
2007/11/09,SPY,SPY,S,CBOE,20406
2007/11/12,SPY,SPY,S,CBOE,38914
2007/11/13,SPY,SPY,S,CBOE,25129
2007/11/14,SPY,SPY,S,CBOE,5677
2007/11/15,SPY,SPY,S,CBOE,16106
2007/11/16,SPY,SPY,S,CBOE,11665
2007/11/19,SPY,SPY,S,CBOE,19039
2007/11/20,SPY,SPY,S,CBOE,9399
2007/11/21,SPY,SPY,S,CBOE,17691
2007/11/23,SPY,SPY,S,CBOE,12246
2007/11/26,SPY,SPY,S,CBOE,9903
2007/11/27,SPY,SPY,S,CBOE,28215
2007/11/28,SPY,SPY,S,CBOE,21928
2007/11/29,SPY,SPY,S,CBOE,8226
2007/11/30,SPY,SPY,S,CBOE,7125
2007/12/03,SPY,SPY,S,CBOE,1398
2007/12/04,SPY,SPY,S,CBOE,5246
2007/12/05,SPY,SPY,S,CBOE,5197
2007/12/06,SPY,SPY,S,CBOE,4608
2007/12/07,SPY,SPY,S,CBOE,7991
2007/12/10,SPY,SPY,S,CBOE,6505
2007/12/11,SPY,SPY,S,CBOE,6265
2007/12/12,SPY,SPY,S,CBOE,7106
2007/12/13,SPY,SPY,S,CBOE,7134
2007/12/14,SPY,SPY,S,CBOE,2131
2007/12/17,SPY,SPY,S,CBOE,2210
2007/12/18,SPY,SPY,S,CBOE,3765
2007/12/19,SPY,SPY,S,CBOE,26435
2007/12/20,SPY,SPY,S,CBOE,31027
2007/12/21,SPY,SPY,S,CBOE,1212
2007/12/24,SPY,SPY,S,CBOE,1323
2007/12/26,SPY,SPY,S,CBOE,923
2007/12/27,SPY,SPY,S,CBOE,11939
2007/12/28,SPY,SPY,S,CBOE,1181
2007/12/31,SPY,SPY,S,CBOE,13119
2008/01/02,SPY,SPY,S,CBOE,12132
2008/01/03,SPY,SPY,S,CBOE,5945
2008/01/04,SPY,SPY,S,CBOE,5083
2008/01/07,SPY,SPY,S,CBOE,7428
2008/01/08,SPY,SPY,S,CBOE,5936
2008/01/09,SPY,SPY,S,CBOE,18502
2008/01/10,SPY,SPY,S,CBOE,22386
2008/01/11,SPY,SPY,S,CBOE,11205
2008/01/14,SPY,SPY,S,CBOE,6898
2008/01/15,SPY,SPY,S,CBOE,12454
2008/01/16,SPY,SPY,S,CBOE,38059
2008/01/17,SPY,SPY,S,CBOE,60759
2008/01/18,SPY,SPY,S,CBOE,99512
2008/01/22,SPY,SPY,S,CBOE,179828
2008/01/23,SPY,SPY,S,CBOE,180521
2008/01/24,SPY,SPY,S,CBOE,53219
2008/01/25,SPY,SPY,S,CBOE,152076
2008/01/28,SPY,SPY,S,CBOE,69136
2008/01/29,SPY,SPY,S,CBOE,43613
2008/01/30,SPY,SPY,S,CBOE,50705
2008/01/31,SPY,SPY,S,CBOE,74921
2008/02/01,SPY,SPY,S,CBOE,54268
2008/02/04,SPY,SPY,S,CBOE,33514
2008/02/05,SPY,SPY,S,CBOE,49638
2008/02/06,SPY,SPY,S,CBOE,39470
2008/02/07,SPY,SPY,S,CBOE,50501
2008/02/08,SPY,SPY,S,CBOE,79834
2008/02/11,SPY,SPY,S,CBOE,41472
2008/02/12,SPY,SPY,S,CBOE,74671
2008/02/13,SPY,SPY,S,CBOE,13537
2008/02/14,SPY,SPY,S,CBOE,46124
2008/02/15,SPY,SPY,S,CBOE,130824
2008/02/19,SPY,SPY,S,CBOE,57667
2008/02/20,SPY,SPY,S,CBOE,54298
2008/02/21,SPY,SPY,S,CBOE,26707
2008/02/22,SPY,SPY,S,CBOE,50788
2008/02/25,SPY,SPY,S,CBOE,33374
2008/02/26,SPY,SPY,S,CBOE,46598
2008/02/27,SPY,SPY,S,CBOE,32252
2008/02/28,SPY,SPY,S,CBOE,30382
2008/02/29,SPY,SPY,S,CBOE,78792
2008/03/03,SPY,SPY,S,CBOE,49194
2008/03/04,SPY,SPY,S,CBOE,81142
2008/03/05,SPY,SPY,S,CBOE,59323
2008/03/06,SPY,SPY,S,CBOE,92370
2008/03/07,SPY,SPY,S,CBOE,177785
2008/03/10,SPY,SPY,S,CBOE,221507
2008/03/11,SPY,SPY,S,CBOE,157435
2008/03/12,SPY,SPY,S,CBOE,75240
2008/03/13,SPY,SPY,S,CBOE,181366
2008/03/14,SPY,SPY,S,CBOE,307323
2008/03/17,SPY,SPY,S,CBOE,351734
2008/03/18,SPY,SPY,S,CBOE,162227
2008/03/19,SPY,SPY,S,CBOE,119323
2008/03/20,SPY,SPY,S,CBOE,109097
2008/03/24,SPY,SPY,S,CBOE,30553
2008/03/25,SPY,SPY,S,CBOE,31284
2008/03/26,SPY,SPY,S,CBOE,33927
2008/03/27,SPY,SPY,S,CBOE,29413
2008/03/28,SPY,SPY,S,CBOE,27417
2008/03/31,SPY,SPY,S,CBOE,50696
2008/04/01,SPY,SPY,S,CBOE,53527
2008/04/02,SPY,SPY,S,CBOE,58000
2008/04/03,SPY,SPY,S,CBOE,70209
2008/04/04,SPY,SPY,S,CBOE,22766
2008/04/07,SPY,SPY,S,CBOE,35582
2008/04/08,SPY,SPY,S,CBOE,33184
2008/04/09,SPY,SPY,S,CBOE,16880
2008/04/10,SPY,SPY,S,CBOE,23250
2008/04/11,SPY,SPY,S,CBOE,38349
2008/04/14,SPY,SPY,S,CBOE,38375
2008/04/15,SPY,SPY,S,CBOE,36961
2008/04/16,SPY,SPY,S,CBOE,19805
2008/04/17,SPY,SPY,S,CBOE,46704
2008/04/18,SPY,SPY,S,CBOE,111414
2008/04/21,SPY,SPY,S,CBOE,22443
2008/04/22,SPY,SPY,S,CBOE,26194
2008/04/23,SPY,SPY,S,CBOE,11020
2008/04/24,SPY,SPY,S,CBOE,20496
2008/04/25,SPY,SPY,S,CBOE,28377
2008/04/28,SPY,SPY,S,CBOE,27739
2008/04/29,SPY,SPY,S,CBOE,10273
2008/04/30,SPY,SPY,S,CBOE,12251
2008/05/01,SPY,SPY,S,CBOE,19551
2008/05/02,SPY,SPY,S,CBOE,15015
2008/05/05,SPY,SPY,S,CBOE,5524
2008/05/06,SPY,SPY,S,CBOE,8450
2008/05/07,SPY,SPY,S,CBOE,11686
2008/05/08,SPY,SPY,S,CBOE,15823
2008/05/09,SPY,SPY,S,CBOE,17697
2008/05/12,SPY,SPY,S,CBOE,13872
2008/05/13,SPY,SPY,S,CBOE,17888
2008/05/14,SPY,SPY,S,CBOE,32476
2008/05/15,SPY,SPY,S,CBOE,78930
2008/05/16,SPY,SPY,S,CBOE,11505
2008/05/19,SPY,SPY,S,CBOE,10928
2008/05/20,SPY,SPY,S,CBOE,13405
2008/05/21,SPY,SPY,S,CBOE,23261
2008/05/22,SPY,SPY,S,CBOE,5155
2008/05/23,SPY,SPY,S,CBOE,19942
2008/05/27,SPY,SPY,S,CBOE,20747
2008/05/28,SPY,SPY,S,CBOE,17320
2008/05/29,SPY,SPY,S,CBOE,13094
2008/05/30,SPY,SPY,S,CBOE,21209
2008/06/02,SPY,SPY,S,CBOE,18794
2008/06/03,SPY,SPY,S,CBOE,23507
2008/06/04,SPY,SPY,S,CBOE,15172
2008/06/05,SPY,SPY,S,CBOE,24423
2008/06/06,SPY,SPY,S,CBOE,42705
2008/06/09,SPY,SPY,S,CBOE,37449
2008/06/10,SPY,SPY,S,CBOE,37798
2008/06/11,SPY,SPY,S,CBOE,44647
2008/06/12,SPY,SPY,S,CBOE,43851
2008/06/13,SPY,SPY,S,CBOE,39670
2008/06/16,SPY,SPY,S,CBOE,15655
2008/06/17,SPY,SPY,S,CBOE,13360
2008/06/18,SPY,SPY,S,CBOE,49317
2008/06/19,SPY,SPY,S,CBOE,69547
2008/06/20,SPY,SPY,S,CBOE,118935
2008/06/23,SPY,SPY,S,CBOE,51709
2008/06/24,SPY,SPY,S,CBOE,109265
2008/06/25,SPY,SPY,S,CBOE,74748
2008/06/26,SPY,SPY,S,CBOE,191871
2008/06/27,SPY,SPY,S,CBOE,193508
2008/06/30,SPY,SPY,S,CBOE,182409
2008/07/01,SPY,SPY,S,CBOE,322280
2008/07/02,SPY,SPY,S,CBOE,167663
2008/07/03,SPY,SPY,S,CBOE,223841
2008/07/07,SPY,SPY,S,CBOE,367009
2008/07/08,SPY,SPY,S,CBOE,357599
2008/07/09,SPY,SPY,S,CBOE,227342
2008/07/10,SPY,SPY,S,CBOE,404247
2008/07/11,SPY,SPY,S,CBOE,724361
2008/07/14,SPY,SPY,S,CBOE,318411
2008/07/15,SPY,SPY,S,CBOE,725234
2008/07/16,SPY,SPY,S,CBOE,449726
2008/07/17,SPY,SPY,S,CBOE,512673
2008/07/18,SPY,SPY,S,CBOE,285423
2008/07/21,SPY,SPY,S,CBOE,159909
2008/07/22,SPY,SPY,S,CBOE,229263
2008/07/23,SPY,SPY,S,CBOE,299035
2008/07/24,SPY,SPY,S,CBOE,308592
2008/07/25,SPY,SPY,S,CBOE,163286
2008/07/28,SPY,SPY,S,CBOE,278600
2008/07/29,SPY,SPY,S,CBOE,222716
2008/07/30,SPY,SPY,S,CBOE,269112
2008/07/31,SPY,SPY,S,CBOE,230784
2008/08/01,SPY,SPY,S,CBOE,248311
2008/08/04,SPY,SPY,S,CBOE,138026
2008/08/05,SPY,SPY,S,CBOE,174909
2008/08/06,SPY,SPY,S,CBOE,262958
2008/08/07,SPY,SPY,S,CBOE,192188
2008/08/08,SPY,SPY,S,CBOE,261853
2008/08/11,SPY,SPY,S,CBOE,144636
2008/08/12,SPY,SPY,S,CBOE,198805
2008/08/13,SPY,SPY,S,CBOE,259824
2008/08/14,SPY,SPY,S,CBOE,287826
2008/08/15,SPY,SPY,S,CBOE,163694
2008/08/18,SPY,SPY,S,CBOE,116906
2008/08/19,SPY,SPY,S,CBOE,176820
2008/08/20,SPY,SPY,S,CBOE,128899
2008/08/21,SPY,SPY,S,CBOE,152295
2008/08/22,SPY,SPY,S,CBOE,136628
2008/08/25,SPY,SPY,S,CBOE,184785
2008/08/26,SPY,SPY,S,CBOE,159240
2008/08/27,SPY,SPY,S,CBOE,171440
2008/08/28,SPY,SPY,S,CBOE,82739
2008/08/29,SPY,SPY,S,CBOE,144384
2008/09/02,SPY,SPY,S,CBOE,147864
2008/09/03,SPY,SPY,S,CBOE,278980
2008/09/04,SPY,SPY,S,CBOE,336493
2008/09/05,SPY,SPY,S,CBOE,333990
2008/09/08,SPY,SPY,S,CBOE,350054
2008/09/09,SPY,SPY,S,CBOE,408199
2008/09/10,SPY,SPY,S,CBOE,260273
2008/09/11,SPY,SPY,S,CBOE,447009
2008/09/12,SPY,SPY,S,CBOE,368838
2008/09/15,SPY,SPY,S,CBOE,637612
2008/09/16,SPY,SPY,S,CBOE,885345
2008/09/17,SPY,SPY,S,CBOE,956181
2008/09/18,SPY,SPY,S,CBOE,789620
2008/09/19,SPY,SPY,S,CBOE,597862
2008/09/22,SPY,SPY,S,CBOE,139334
2008/09/23,SPY,SPY,S,CBOE,209882
2008/09/24,SPY,SPY,S,CBOE,330823
2008/09/25,SPY,SPY,S,CBOE,226550
2008/09/26,SPY,SPY,S,CBOE,206979
2008/09/29,SPY,SPY,S,CBOE,363452
2008/09/30,SPY,SPY,S,CBOE,222202
2008/10/01,SPY,SPY,S,CBOE,141344
2008/10/02,SPY,SPY,S,CBOE,255721
2008/10/03,SPY,SPY,S,CBOE,312710
2008/10/06,SPY,SPY,S,CBOE,360428
2008/10/07,SPY,SPY,S,CBOE,502097
2008/10/08,SPY,SPY,S,CBOE,158403
2008/10/09,SPY,SPY,S,CBOE,215627
2008/10/10,SPY,SPY,S,CBOE,81612
2008/10/13,SPY,SPY,S,CBOE,34133
2008/10/14,SPY,SPY,S,CBOE,108295
2008/10/15,SPY,SPY,S,CBOE,50799
2008/10/16,SPY,SPY,S,CBOE,35388
2008/10/17,SPY,SPY,S,CBOE,28822
2008/10/20,SPY,SPY,S,CBOE,14964
2008/10/21,SPY,SPY,S,CBOE,28991
2008/10/22,SPY,SPY,S,CBOE,19889
2008/10/23,SPY,SPY,S,CBOE,22073
2008/10/24,SPY,SPY,S,CBOE,12960
2008/10/27,SPY,SPY,S,CBOE,9058
2008/10/28,SPY,SPY,S,CBOE,6323
2008/10/29,SPY,SPY,S,CBOE,42374
2008/10/30,SPY,SPY,S,CBOE,22179
2008/10/31,SPY,SPY,S,CBOE,28913
2008/11/03,SPY,SPY,S,CBOE,5461
2008/11/04,SPY,SPY,S,CBOE,52531
2008/11/05,SPY,SPY,S,CBOE,35845
2008/11/06,SPY,SPY,S,CBOE,10013
2008/11/07,SPY,SPY,S,CBOE,6494
2008/11/10,SPY,SPY,S,CBOE,25504
2008/11/11,SPY,SPY,S,CBOE,7497
2008/11/12,SPY,SPY,S,CBOE,13444
2008/11/13,SPY,SPY,S,CBOE,17336
2008/11/14,SPY,SPY,S,CBOE,5444
2008/11/17,SPY,SPY,S,CBOE,11834
2008/11/18,SPY,SPY,S,CBOE,20688
2008/11/19,SPY,SPY,S,CBOE,6512
2008/11/20,SPY,SPY,S,CBOE,4601
2008/11/21,SPY,SPY,S,CBOE,32092
2008/11/24,SPY,SPY,S,CBOE,2845
2008/11/25,SPY,SPY,S,CBOE,7080
2008/11/26,SPY,SPY,S,CBOE,3373
2008/11/28,SPY,SPY,S,CBOE,1714
2008/12/01,SPY,SPY,S,CBOE,1325
2008/12/02,SPY,SPY,S,CBOE,15614
2008/12/03,SPY,SPY,S,CBOE,557
2008/12/04,SPY,SPY,S,CBOE,19262
2008/12/05,SPY,SPY,S,CBOE,1095
2008/12/08,SPY,SPY,S,CBOE,7503
2008/12/09,SPY,SPY,S,CBOE,2028
2008/12/10,SPY,SPY,S,CBOE,3448
2008/12/11,SPY,SPY,S,CBOE,15413
2008/12/12,SPY,SPY,S,CBOE,5482
2008/12/15,SPY,SPY,S,CBOE,938
2008/12/16,SPY,SPY,S,CBOE,2433
2008/12/17,SPY,SPY,S,CBOE,12573
2008/12/18,SPY,SPY,S,CBOE,10146
2008/12/19,SPY,SPY,S,CBOE,2704
2008/12/22,SPY,SPY,S,CBOE,1530
2008/12/23,SPY,SPY,S,CBOE,273
2008/12/24,SPY,SPY,S,CBOE,82
2008/12/26,SPY,SPY,S,CBOE,25
2008/12/29,SPY,SPY,S,CBOE,333
2008/12/30,SPY,SPY,S,CBOE,40
2008/12/31,SPY,SPY,S,CBOE,1416
2009/01/02,SPY,SPY,S,CBOE,2144
2009/01/05,SPY,SPY,S,CBOE,958
2009/01/06,SPY,SPY,S,CBOE,2377
2009/01/07,SPY,SPY,S,CBOE,3204
2009/01/08,SPY,SPY,S,CBOE,4380
2009/01/09,SPY,SPY,S,CBOE,269
2009/01/12,SPY,SPY,S,CBOE,2218
2009/01/13,SPY,SPY,S,CBOE,1513
2009/01/14,SPY,SPY,S,CBOE,3305
2009/01/15,SPY,SPY,S,CBOE,1165
2009/01/16,SPY,SPY,S,CBOE,130
2009/01/20,SPY,SPY,S,CBOE,1109
2009/01/21,SPY,SPY,S,CBOE,1325
2009/01/22,SPY,SPY,S,CBOE,1035
2009/01/23,SPY,SPY,S,CBOE,623
2009/01/26,SPY,SPY,S,CBOE,1208
2009/01/27,SPY,SPY,S,CBOE,1071
2009/01/28,SPY,SPY,S,CBOE,2051
2009/01/29,SPY,SPY,S,CBOE,1
2009/01/30,SPY,SPY,S,CBOE,113
2009/02/02,SPY,SPY,S,CBOE,6
2009/02/03,SPY,SPY,S,CBOE,133
2009/02/04,SPY,SPY,S,CBOE,112
2009/02/05,SPY,SPY,S,CBOE,112
2009/02/06,SPY,SPY,S,CBOE,479
2009/02/09,SPY,SPY,S,CBOE,292
2009/02/10,SPY,SPY,S,CBOE,361
2009/02/11,SPY,SPY,S,CBOE,161
2009/02/12,SPY,SPY,S,CBOE,20
2009/02/17,SPY,SPY,S,CBOE,54
2009/02/18,SPY,SPY,S,CBOE,14
2009/02/19,SPY,SPY,S,CBOE,102
2009/02/20,SPY,SPY,S,CBOE,477
2009/02/23,SPY,SPY,S,CBOE,19
2009/02/24,SPY,SPY,S,CBOE,11
2009/02/25,SPY,SPY,S,CBOE,1015
2009/02/27,SPY,SPY,S,CBOE,9
2009/03/02,SPY,SPY,S,CBOE,10
2009/03/03,SPY,SPY,S,CBOE,20
2009/03/04,SPY,SPY,S,CBOE,207
2009/03/05,SPY,SPY,S,CBOE,200
2009/03/09,SPY,SPY,S,CBOE,7
2009/03/10,SPY,SPY,S,CBOE,10
2009/03/11,SPY,SPY,S,CBOE,291
2009/03/12,SPY,SPY,S,CBOE,2
2009/03/13,SPY,SPY,S,CBOE,5
2009/03/16,SPY,SPY,S,CBOE,101
2009/03/17,SPY,SPY,S,CBOE,1
2009/03/18,SPY,SPY,S,CBOE,754
2009/03/19,SPY,SPY,S,CBOE,47
2009/03/20,SPY,SPY,S,CBOE,98
2009/03/23,SPY,SPY,S,CBOE,104
2009/03/24,SPY,SPY,S,CBOE,71
2009/03/25,SPY,SPY,S,CBOE,90
2009/03/26,SPY,SPY,S,CBOE,55
2009/03/27,SPY,SPY,S,CBOE,120
2009/03/30,SPY,SPY,S,CBOE,1
